param,value,model,record,f1,precision,recall,tp,fp,fn,threshold_updates
margin,0.2,Float32,212,0.0,0.0,0.0,0,0,0,269
margin,0.2,Float32,213,0.9587426326129667,0.9348659003831418,0.9838709677419355,244,17,4,283
margin,0.2,Float32,214,0.8657243816254417,0.7903225806451613,0.95703125,245,65,11,220
margin,0.2,Float32,219,0.27192982456140347,0.16103896103896104,0.8732394366197183,62,323,9,210
margin,0.2,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
margin,0.2,Float32,222,0.46798029556650245,0.48223350253807107,0.45454545454545453,95,102,114,243
margin,0.2,Float32,228,0.9742198100407056,0.9650537634408602,0.9835616438356164,359,13,6,200
margin,0.2,Float32,231,0.16666666666666666,0.09523809523809523,0.6666666666666666,2,19,1,151
margin,0.2,Float32,232,0.02981029810298103,0.23404255319148937,0.015918958031837915,22,72,1360,173
margin,0.2,Float32,233,0.8830486202365309,0.981021897810219,0.8028673835125448,672,13,165,301
margin,0.2,Float32,234,0.3076923076923077,0.8333333333333334,0.18867924528301888,10,2,43,270
margin,0.25,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
margin,0.25,Float32,103,0.0,0.0,0.0,0,0,2,203
margin,0.25,Float32,105,0.44274809160305345,0.32222222222222224,0.7073170731707317,29,61,12,251
margin,0.25,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.25,Float32,113,0.2439024390243902,0.14285714285714285,0.8333333333333334,5,30,1,174
margin,0.25,Float32,117,0.0,0.0,0.0,0,36,1,148
margin,0.25,Float32,121,0.08,0.043478260869565216,0.5,1,22,1,181
margin,0.25,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.25,Float32,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
margin,0.25,Float32,202,0.7320261437908496,0.7088607594936709,0.7567567567567568,56,23,18,208
margin,0.25,Float32,210,0.869179600886918,0.8376068376068376,0.9032258064516129,196,38,21,258
margin,0.25,Float32,212,0.0,0.0,0.0,0,0,0,269
margin,0.25,Float32,213,0.9721115537848605,0.9606299212598425,0.9838709677419355,244,10,4,283
margin,0.25,Float32,214,0.8909426987060999,0.8456140350877193,0.94140625,241,44,15,220
margin,0.25,Float32,219,0.2824601366742597,0.16847826086956522,0.8732394366197183,62,306,9,210
margin,0.25,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
margin,0.25,Float32,222,0.45789473684210524,0.5087719298245614,0.41626794258373206,87,84,122,243
margin,0.25,Float32,228,0.9755434782608695,0.967654986522911,0.9835616438356164,359,12,6,200
margin,0.25,Float32,231,0.1739130434782609,0.1,0.6666666666666666,2,18,1,151
margin,0.25,Float32,232,0.025938566552901023,0.2289156626506024,0.013748191027496382,19,64,1363,173
margin,0.25,Float32,233,0.8732394366197184,0.9954128440366973,0.7777777777777778,651,3,186,301
margin,0.25,Float32,234,0.3076923076923077,0.8333333333333334,0.18867924528301888,10,2,43,270
margin,0.3,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
margin,0.3,Float32,103,0.0,0.0,0.0,0,0,2,203
margin,0.3,Float32,105,0.44274809160305345,0.32222222222222224,0.7073170731707317,29,61,12,251
margin,0.3,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
margin,0.3,Float32,113,0.3125,0.19230769230769232,0.8333333333333334,5,21,1,174
